Category,Title,Date,Venue,Locations,Link,Image Src,Image Alt,Description
Exhibition,Morten Skrøder Lund and Laura Ní Fhlaibhín: Wet Suction Spins Forever,12 Jul 2023 – 01 Sep 2023,Belmacz,"London, United Kingdom",https://www.artrabbit.com/events/morten-skrøder-lund-and-laura-ní-fhlaibhín-wet-suction-spins-forever,img.artrabbit.com/events/morten-skrøder-lund-and-laura-ní-fhlaibhín-wet-suction-spins-forever/images/cSRLa5mORy0j/350x233/DSC7650.jpg,Morten Skrøder Lund and Laura Ní Fhlaibhín: Wet Suction Spins Forever,"Wet Suction Spins Forever, can be seen as an entangled conversation; a fluid courting, where extra-humanly sensations become the substrate for an anomalous ecology. Belmacz’s summer 2023 exhibition, Wet Suction Spins Forever, can be seen as an entangled conversation; a fluid courting, where extra-humanly sensations become the substrate for an anomalous ecology. Cultivated by artist Laura Ní Fhlaibhín, in this exhibition a series of recent paintings by Morten Skrøder Lund are contextualised alongside changing, changeable ecosystems. Effusing one another, here abstracted gestures rub up with nature, dissolving and germinating, creating a restive tension within the space of the gallery."
Exhibition,Turps Studio Programme Leavers Show,12 Jul 2023 – 23 Jul 2023,Turps HQ,"London, United Kingdom",https://www.artrabbit.com/events/turps-studio-programme-leavers-show,img.artrabbit.com/events/turps-studio-programme-leavers-show/images/fG42uPaYoiaU/350x262/19078AEF-8CEF-47D2-AC84-8F5E1FEC0A28.jpg,Turps Studio Programme Leavers Show,Turps Studio Programme brings together their 17 painters in Turps Leavers Show at Turps HQ in Elephant and Castle. 
Exhibition,Gabriel Chaile in collaboration with Laura Ojeda Bär,12 Jul 2023 – 10 Sep 2023,Studio Voltaire,"London, United Kingdom",https://www.artrabbit.com/events/gabriel-chaile-in-collaboration-with-laura-ojeda-bär,img.artrabbit.com/events/gabriel-chaile-in-collaboration-with-laura-ojeda-bär/images/TqVLRe0ml7HA/350x297/Gabriel-Chaile-The-Milk-of-Dreams-Installation-view-at-the-59th-Venice-Biennale-Venice-2022-Photo-by-Andrea-Rossetti-Courtesy-of-BARRO-Arte-Contemporaneo-Buenos-Aires-and-Gabriel-Chaile-Lisbon-and-ChertLudde-Berlin.jpg,Gabriel Chaile in collaboration with Laura Ojeda Bär,"A large-scale sculptural installation by Gabriel Chaile (b. 1985, Argentina) – the artist’s first institutional exhibition in the UK. Following presentations on the High Line, NY (2023), at the 59th International Art Exhibition of La Biennale di Venezia (2022) and the New Museum, NY (2021), Chaile will create an ambitious new sculptural installation, drawing on Studio Voltaire’s unique interior and history as a former chapel and meeting space."
Exhibition,Paloma Varga Weisz: Glass,12 Jul 2023 – 19 Aug 2023,Sadie Coles HQ | Bury Street,"London, United Kingdom",https://www.artrabbit.com/events/paloma-varga-weisz-glass,img.artrabbit.com/events/paloma-varga-weisz-glass/images/GfDaRxgGsA4Y/350x280/paloma-weisz.jpg,Paloma Varga Weisz: Glass,"Opening in July 2023, Paloma Varga Weisz will unveil a new body of work in cast glass that extend her long running Wilde Leute series, shown in dialogue with a number of recent watercolour drawings on paper – at the Bury Street gallery in St James’s. Varga Weisz’s new sculptures represent the first time she has worked with glass, signalling a significant new stage in her sustained exploration of sculpture as a medium and traditional modes of craftsmanship. Developed over the past year, the body of work emerged from Varga Weisz’s experience of glass during a visit to Murano, following which she began a collaboration with glassmakers in South Tirol to explore the unique potential to express the transitory elements of light and colour inherent to the medium. Reconceived in glass, the sculptural figures draw new parallels with the transparent quality of her watercolour drawings, in which light and colour become transformational elements that animate her characters with formal and metamorphic fluidity."
Exhibition,Sarah Cunningham: The Crystal Forest,12 Jul 2023 – 26 Aug 2023,Lisson Gallery | 67 Lisson Street,"London, United Kingdom",https://www.artrabbit.com/events/sarah-cunningham-the-crystal-forest,img.artrabbit.com/events/sarah-cunningham-the-crystal-forest/images/VJHe5sncZhVZ/350x262/Sarah-Cunningham-The-Crystal-Forest.jpg,Sarah Cunningham: The Crystal Forest,"“There is an immense reward to be found in that frozen forest. There the transfiguration of all living and inanimate forms occurs before our eyes, the gift of immortality a direct consequence of the surrender by each of us of our own physical and temporal identities.”  – JG Ballard, The Crystal World, 1966"
Exhibition,Devon Turnbull: HiFi Listening Room Dream No. 1 and other works,12 Jul 2023 – 26 Aug 2023,Lisson Gallery | 27 Bell Street,"London, United Kingdom",https://www.artrabbit.com/events/devon-turnbull-hifi-listening-room-dream-no-1-and-other-works,img.artrabbit.com/events/devon-turnbull-hifi-listening-room-dream-no-1-and-other-works/images/7PSqhMR8DCuh/350x262/Devon-Turnbull-HiFi-Listening-Room-Dream-No-1-and-other-works.jpg,Devon Turnbull: HiFi Listening Room Dream No. 1 and other works,Devon Turnbull
Exhibition,Shapeshifters: The Work of London-based Tattoo Artists,12 Jul 2023 – 03 Sep 2023,The Last Tuesday Society,"London, United Kingdom",https://www.artrabbit.com/events/shapeshifters-the-work-of-londonbased-tattoo-artists,img.artrabbit.com/events/shapeshifters-the-work-of-londonbased-tattoo-artists/images/pZi2A6h7eQab/350x495/Shapeshifters-Poster-lr-copy.jpg,Shapeshifters: The Work of London-based Tattoo Artists,A group exhibition featuring the work of London-based tattoo artists S﻿HAPESHIFTERS
Exhibition,'Coming Out of the Dollhouse' by Jessica Brox,11 Jul 2023 – 23 Jul 2023,The Fitzrovia Gallery,"London, United Kingdom",https://www.artrabbit.com/events/coming-out-of-the-dollhouse-by-jessica-brox,img.artrabbit.com/events/coming-out-of-the-dollhouse-by-jessica-brox/images/IMnsG7WzeaSX/350x452/a8ef1c5d-015b-4534-b1f3-9a95fed885ac.jpg,'Coming Out of the Dollhouse' by Jessica Brox,"THE SOLO DEBUT 'COMING OUT OF THE DOLL HOUSE’ BY JESSICA BROX: A CAPTIVATING EXHIBITION OF PAINTINGS, WORKS ON PAPER, AND POEMS Fitzrovia Gallery is delighted to host Jessica Brox' Coming out of the Doll House, a presentation of paintings and works on paper accompanied by poems. This is Brox's first solo exhibition in the UK and a long overdue exposure in the capital of the bold female portraits associated with her name via international digital platforms."
Exhibition,Jessica Brox. Coming Out Of The Doll House,11 Jul 2023 – 23 Jul 2023,The Fitzrovia Gallery,"London, United Kingdom",https://www.artrabbit.com/events/jessica-brox-coming-out-of-the-doll-house,img.artrabbit.com/events/jessica-brox-coming-out-of-the-doll-house/images/2gplvwsyFBpC/350x347/Jessica-Brox-Coming-out-of-the-Doll-House.jpg,Jessica Brox. Coming Out Of The Doll House,"Fitzrovia Gallery is delighted to host Jessica Brox’ Coming out of the Doll House, a presentation of paintings and works on paper accompanied by poems. This is Brox’ first solo exhibition in the UK and a long overdue exposure in the capital of the bold female portraits that her name is associated with via international digital platforms."
Exhibition,Ben Cove in SPACE,11 Jul 2023 – 20 Jan 2024,SPACE,"London, United Kingdom",https://www.artrabbit.com/events/ben-cove-in-space,img.artrabbit.com/events/ben-cove-in-space/images/BWeCp1zJ77db/350x350/SPACE-Post-IG-01.jpg,Ben Cove in SPACE,"An exhibition of paintings by a much-loved member of SPACE's community who had a studio in our Triangle building from 2006 until his untimely death in 2016. Ben Cove was a much-loved member of our artist community for 10 years, based at The Triangle studios in Hackney from 2006 until his untimely death in 2016. We are delighted to present a new solo exhibition of his work, co-curated by Karen Davies, Head of Artist Development at SPACE, and Melanie Cove, Ben’s sister, which will investigate aspects of Ben’s practice that have never been seen previously."
Exhibition,SGW Lab summer shows 2023,11 Jul 2023 – 25 Jul 2023,Sway Gallery,"London, United Kingdom",https://www.artrabbit.com/events/sgw-lab-summer-shows-2023,img.artrabbit.com/events/sgw-lab-summer-shows-2023/images/tFbUyHEau9Up/350x263/SwayGalleryxSGWLab-1-800-600.jpg,SGW Lab summer shows 2023,"SGW Lab will hold a pop-up event at Sway Gallery. This will be the first collaboration in five years since the 2018 exhibition of Yuta Segawa, director of SGW Lab. SGW Lab summer shows 2023"
Class,Curating Contemporary Art and Design,10 Jul 2023 – 21 Jul 2023,Royal College of Art,"London, United Kingdom",https://www.artrabbit.com/events/curating-contemporary-art-and-design,img.artrabbit.com/events/curating-contemporary-art-and-design/images/Ha3cBTf6uXH7/350x350/2220.jpg,Curating Contemporary Art and Design,"Discover contemporary art and design curatorial thinking and practice, with sector leading curators, researchers and writers. This course provides an intensive introduction to contemporary curatorial thinking and practice in art and design. It offers critical perspectives from the viewpoint of experts who curate, research and write in the cultural sector, with opportunities for participants to engage with cutting edge curatorial approaches emerging within and beyond London."
Exhibition,Hang-Up Curates Vol. VII | Presenting A Beautiful Day by Dave White,10 Jul 2023 – 08 Sep 2023,Hang-Up Gallery,"London, United Kingdom",https://www.artrabbit.com/events/hangup-curates-vol-vii-presenting-a-beautiful-day-by-dave-white,img.artrabbit.com/events/hangup-curates-vol-vii-presenting-a-beautiful-day-by-dave-white/images/EffJMCLMRPUv/350x524/hangup16062023jobtwelve-16.jpg,Hang-Up Curates Vol. VII | Presenting A Beautiful Day by Dave White,"We're thrilled to present Dave White's latest collection, A Beautiful Day, his most radiant work yet. Alongside White's collection, this exhibition features works by Alma Berrow, Bridget Riley, David Shrigley and many more. The evocative images invite us to appreciate the beauty of life that surrounds us, no matter how small. They serve as a poignant reminder to pause, observe, and acknowledge the fragility and grace that these birds possess."
Exhibition,SUPER-CHARGED,08 Jul 2023 – 30 Jul 2023,Moosey London,"London, United Kingdom",https://www.artrabbit.com/events/supercharged,img.artrabbit.com/events/supercharged/images/AMMyYXUkTRVa/350x495/2.jpg,SUPER-CHARGED,"Join us & celebrate the Opening of  Jet Carter's  Solo Exhibition
'SUPER-CHARGED' Through the medium of handmade paper, jET CARTER brings to life objects that hold tremendous emotional and financial energy from their own life experiences. From receipts to bills, even discarded paper scraps from students, every element pulsates with significance in making the surface for the narratives and characters to occupy"
Exhibition,Filia - Avital Sheffer,08 Jul 2023 – 29 Jul 2023,Rebecca Hossack Art Gallery,"London, United Kingdom",https://www.artrabbit.com/events/filia-avital-sheffer,img.artrabbit.com/events/filia-avital-sheffer/images/ta9el4mvjfKd/350x350/AS3.jpg,Filia - Avital Sheffer,"The Rebecca Hossack Art Gallery presents Filia. Filia celebrates Sheffer's life-long engagement with the multi-faceted strands of Middle-Eastern iconography, history, language and mythology as deep sources for the forms and surfaces of her exquisite sculptural vessels. Born in Israel, Sheffer now lives in New South Wales, Australia, where the intensity of the light and the surrounding landscape infuses her work with a resonant warmth and quiet energy. Imbued with a sense of the divine, Sheffer’s vessels hold myriad stories and interweave historic filaments of Mediterranean and Middle-Eastern cultures. As portals between past and present, Sheffer’s works challenge the linearity of time, and speak with an ancient voice of the fundamental human concerns of materiality and spirituality."
Exhibition,Phoebe Boswell: A Tree Says [In These Boughs The World Rustles],08 Jul 2023 – 05 Nov 2023,Orleans House Gallery,"Twickenham, United Kingdom",https://www.artrabbit.com/events/phoebe-boswell-a-tree-says-in-these-boughs-the-world-rustles,img.artrabbit.com/events/phoebe-boswell-a-tree-says-in-these-boughs-the-world-rustles/images/4cIFKbetPzD8/350x465/Untitled.jpg,Phoebe Boswell: A Tree Says [In These Boughs The World Rustles],"In this immersive new work, the artist Phoebe Boswell inhabits Orleans House Gallery and its surrounding woodlands, engaging the audience in an intergenerational call and response, where trees become repositories of enquiry. Boswell creates space for us to raise our questions and listen to the voices of our elders as they endeavour to articulate life."
Exhibition,Cinga Samson. Nzulu yemfihlakalo,07 Jul 2023 – 26 Aug 2023,White Cube Mason's Yard,"London, United Kingdom",https://www.artrabbit.com/events/cinga-samson-nzulu-yemfihlakalo,img.artrabbit.com/events/cinga-samson-nzulu-yemfihlakalo/images/6oszvP0GSrqp/350x232/Photo-by-Cinga-Samson-Lwando-Makasi.jpg,Cinga Samson. Nzulu yemfihlakalo,"Samson challenges our understanding of human existence – as not a special kind of existence that lives outside or above all that is natural and eternal but as representative of the eternal […] — LWANDILE FIKENI, 2023 White Cube Mason’s Yard is pleased to present ‘Nzulu yemfihlakalo’, a new group of oil paintings by South African artist Cinga Samson. Completed in his studio in Cape Town, the artist’s dreamlike large-scale tableaux and portraits draw from his environment and metaphysical concerns, prompting the viewer to confront the epistemological boundaries of our collective understanding."
Exhibition,Gallery Summer Show,07 Jul 2023 – 12 Aug 2023,"Frith Street Gallery, Golden Square","London, United Kingdom",https://www.artrabbit.com/events/gallery-summer-show,img.artrabbit.com/events/gallery-summer-show/images/GRpIsySahmhN/350x345/Fiona-Tan-Pickpockets-Léonie-Césarine-Bise-2021.jpg,Gallery Summer Show,"Frith Street Gallery presents Portrait, an exhibition of works by gallery artists considering the contemporary portrait through a range of perspectives and mediums. From sensitive images of loved ones to reappropriated portraits mined from the past, Portrait speaks of our innate desire to understand and document our fellow human beings, whether real or imagined."
Exhibition,Rasheed Araeen. Structures,07 Jul 2023 – 04 Aug 2023,Grosvenor Gallery,"London, United Kingdom",https://www.artrabbit.com/events/rasheed-araeen-structures,img.artrabbit.com/events/rasheed-araeen-structures/images/gzWnRhd99iQg/350x377/grosvenorgallery-rasheed-araeen-purple-diamond-2022.jpg,Rasheed Araeen. Structures,"From 7 July - 5 August we will be exhibiting Rasheed Araeen's iconic geometric structures at the gallery in Bury Street. This exhibition compliment's our show of Rasheed's figurative work at Frieze, No. 9 Cork Street (30 June - 15 July)."
Exhibition,The Artists Food Stall,07 Jul 2023 – 27 Aug 2023,Southbank Centre,"London, United Kingdom",https://www.artrabbit.com/events/the-artists-food-stall,img.artrabbit.com/events/the-artists-food-stall/images/n5HN5CC2TVve/350x363/alastair-kwan-artists-food-stall.jpg,The Artists Food Stall,"Grab a treat and the chance to have conversations around food, art and sustainability at food market stalls from artists whose work centres around cuisine. Part of Planet Summer, Southbank Centre Square, Belvedere Road Artists and artist collectives are invited to host a stall at the Southbank Centre Food Market this summer."
Exhibition,Melanie Jackson | Rouge Flambé,07 Jul 2023 – 12 Aug 2023,San Mei Gallery,"London, United Kingdom",https://www.artrabbit.com/events/melanie-jackson-rouge-flambé,img.artrabbit.com/events/melanie-jackson-rouge-flambé/images/e0qj0k475GcD/350x280/card-san-mei-final.jpg,Melanie Jackson | Rouge Flambé,"Solo exhibition by Lambeth- based artist Melanie Jackson. This exhibition will be the first staging of Rouge Flambé, an ongoing body of new work linking fire, flame, animation, kiln, sun, water and earth. San Mei Gallery is pleased to present a solo exhibition by Lambeth- based artist Melanie Jackson. This exhibition will be the first staging of Rouge Flambé, an ongoing body of new work linking fire, flame, animation, kiln, sun, water and earth. At San Mei Gallery, she presents a selection of ceramics, drawings and animation and an opening text co-authored with Esther Leslie, available as a booklet from the gallery front desk."
Exhibition,What We Thought We Knew,07 Jul 2023 – 28 Jul 2023,The Koppel Project Station,"London, United Kingdom",https://www.artrabbit.com/events/what-we-thought-we-knew,img.artrabbit.com/events/what-we-thought-we-knew/images/c6UdbimB3h8j/350x339/WWTWK-Image-for-Invitations.jpg,What We Thought We Knew,"""What We Thought We Knew"" marks the inaugural exhibition of An-X, featuring the works of 15 An-X artists. The exhibition raises questions across three themes: Cosmic Gardens mixes symbols of ancient myths and contemporary beliefs; Day For Night challenges our perception of reality and time, examining the process of image-making through documents of the past; and Social Construction digs into social constructs to raise the voices of the marginalised. Paintings, prints, sculptures, videos, photographs and site-specific installations are presented in the unique context of a decommissioned grade II listed Police Station in Hampstead."
Exhibition,Shaun Motsi,07 Jul 2023 – 03 Sep 2023,Auto Italia South East,"London, United Kingdom",https://www.artrabbit.com/events/shaun-motsi,img.artrabbit.com/events/shaun-motsi/images/sIBM0Fp2zVGr/350x194/Shaun-Motsi-4K-Film-32-Minutes-Courtesy-the-artist-2023.jpg,Shaun Motsi,"Auto Italia presents Masters, a newly commissioned moving image work and the first exhibition in the UK by Zimbabwean-Canadian artist Shaun Motsi."
Exhibition,Alia Hamaoui | HINO 500,07 Jul 2023 – 13 Aug 2023,San Mei Gallery,"London, United Kingdom",https://www.artrabbit.com/events/alia-hamaoui-hino-500,img.artrabbit.com/events/alia-hamaoui-hino-500/images/N3NE9TOLYgsw/350x231/Scan-9-smaller.jpg,Alia Hamaoui | HINO 500,"Solo presentation by Alia Hamaoui in San Mei Gallery's public facing window space. San Mei Gallery is pleased to present HINO 500 by British-Lebanese artist Alia Hamaoui. This will be the second exhibition in San Mei Gallery’s new public-facing window space, presenting a series of micro-exhibitions by emerging contemporary artists. Open 24 hours a day, this new programming strand facilitates responsive and exciting small-scale exhibitions in a hypervisible context."
Exhibition,My Algorithm Loves Me,07 Jul 2023 – 26 Aug 2023,Rhodes Contemporary Art,"London, United Kingdom",https://www.artrabbit.com/events/my-algorithm-loves-me,img.artrabbit.com/events/my-algorithm-loves-me/images/WgJVahtXc2Xe/350x237/Ormandy-Installation-01.jpg,My Algorithm Loves Me,"Stephen Ormandy is an Australian artist, whose paintings combine geometric and lyrical forms. His graphic planes of colour primarily operate as purely abstract schemas while occasionally bordering on recognisable iconography and figuration. Drawing inspiration from the natural world and incorporating a strong design aesthetic, Ormandy’s body of work encompasses oil paintings, sculptures, textiles and jewellery with a distinct interplay between the mediums."
Exhibition,JOHN DOUGILL  1934 - 2015 Paintings and works on paper,06 Jul 2023 – 30 Jul 2023,studio1.1,"London, United Kingdom",https://www.artrabbit.com/events/john-dougill-1934-2015-paintings-and-works-on-paper,img.artrabbit.com/events/john-dougill-1934-2015-paintings-and-works-on-paper/images/9y0YNgio7Mj9/350x278/JD-Boats-11IMG-7412-copy-2.jpg,JOHN DOUGILL  1934 - 2015 Paintings and works on paper,"A show of paintings and drawings by John Dougill (1934-2015) is offered as a reminder of a fine artist, and a tribute to a dear friend. Ships display a desperate semaphore, ships as metaphor and carriers of frail humanity, sinking fast. Growing up in Liverpool the sea is a constant subject, he follows it as it ebbs and flows in and out of consciousness, absorbed by the distant look to the horizon as well as its endless assault on the shore."
Exhibition,Play: a group show,06 Jul 2023 – 30 Jul 2023,The Stone Space,"London, United Kingdom",https://www.artrabbit.com/events/play-a-group-show,img.artrabbit.com/events/play-a-group-show/images/st2DYFJZvbLP/350x486/Daniel-Roibal-Lost-in-Thought-I.jpg,Play: a group show,No description available.
Exhibition,Natural Intermissions,06 Jul 2023 – 29 Jul 2023,Jack Trodd,"London, United Kingdom",https://www.artrabbit.com/events/natural-intermissions,img.artrabbit.com/events/natural-intermissions/images/CFnqnpWopa5j/350x233/AMP9968-edit-001jt.jpg,Natural Intermissions,"Natural Intermissions, a solo exhibition by Ava Haggas, depicts otherworldly scenes of nature in coloured pencil on wooden panels. Natural Intermissions, the first London solo exhibition of Ava Haggas' art, presented by BWG Gallery, is an ode to the inspiration, process, pleasure and intent found within the artist’s practice…"
Exhibition,Face to Face II,06 Jul 2023 – 29 Jul 2023,Gillian Jason Gallery,"London, United Kingdom",https://www.artrabbit.com/events/face-to-face-ii,img.artrabbit.com/events/face-to-face-ii/images/n87T5CEHDtms/350x595/OVB-PAI-0006-image-1.jpg,Face to Face II,"Gillian Jason Gallery is delighted to announce ‘Face to Face II’, the second iteration of our November 2022 group show, is part of the campaign ‘Portrait Mode’ launched by the National Portrait Gallery to mark their 2023 reopening. The dawn of the 21st century has allowed Portraiture to free itself from standardised canons and traditional conventions, opening up a new chapter of this artistic current, prompting today’s artists to explore the genre in an even more independent and unique manner.  "
Exhibition,Thread Routes,06 Jul 2023 – 12 Aug 2023,Massimo De Carlo Gallery,"London, United Kingdom",https://www.artrabbit.com/events/thread-routes,img.artrabbit.com/events/thread-routes/images/LYUd1WdvFRcZ/350x333/Alighiero-Boetti-Thread-Routes.jpg,Thread Routes,No description available.
Exhibition,‘A Poison Tree’ by Katy Papineau,06 Jul 2023 – 23 Jul 2023,Blue Shop Gallery,"London, United Kingdom",https://www.artrabbit.com/events/a-poison-tree-by-katy-papineau,img.artrabbit.com/events/a-poison-tree-by-katy-papineau/images/pYxZtvNK9wjM/350x496/A-Poison-Tree-by-Katy-Papineau-Blue-Shop-Gallery.jpg,‘A Poison Tree’ by Katy Papineau,"Katy Papineau (b.1991) is a figurative painter who lives and works in London. She graduated in Philosophy from the University of Bristol in 2014, and completed The Drawing Year at The Royal Drawing School in 2019. Since graduating she has participated in artist residencies in France and Italy, and has taken part in group shows at Blue Shop Gallery, Christie’s London, Frestonian Gallery, and Compton Verney, among others. Papineau is currently part of the faculty at the Royal Drawing School, where her teaching focuses on symbolism, memory and imagination."
Exhibition,New Wave,06 Jul 2023 – 07 Sep 2023,Spitalfields Studios - Sky Gallery,"London, United Kingdom",https://www.artrabbit.com/events/new-wave-spitalfields-studios-sky-gallery,img.artrabbit.com/events/new-wave-spitalfields-studios-sky-gallery/images/BfeGEbs1vgbf/350x445/Beate-Sonnenberg-02-Beate-Sonnenberg.jpg,New Wave,"The exhibition explores the theme of the delicate balance between structure and fluidity, the ecological impact of our choices, the consequences of irreversible change, or the profound influence of new technologies such as AI in art. Let’s ride this New Wave together, embracing change, transformation, and sustainability to pursue a brighter, more resilient future."
Exhibition,‘A Poison Tree’ by Katy Papineau,06 Jul 2023 – 23 Jul 2023,Blue Shop Gallery,"London, United Kingdom",https://www.artrabbit.com/events/a-poison-tree-by-katy-papineau,img.artrabbit.com/events/a-poison-tree-by-katy-papineau/images/pYxZtvNK9wjM/350x496/A-Poison-Tree-by-Katy-Papineau-Blue-Shop-Gallery.jpg,‘A Poison Tree’ by Katy Papineau,"Katy Papineau (b.1991) is a figurative painter who lives and works in London. She graduated in Philosophy from the University of Bristol in 2014, and completed The Drawing Year at The Royal Drawing School in 2019. Since graduating she has participated in artist residencies in France and Italy, and has taken part in group shows at Blue Shop Gallery, Christie’s London, Frestonian Gallery, and Compton Verney, among others. Papineau is currently part of the faculty at the Royal Drawing School, where her teaching focuses on symbolism, memory and imagination."
Exhibition,New Wave,06 Jul 2023 – 07 Sep 2023,Spitalfields Studios - Sky Gallery,"London, United Kingdom",https://www.artrabbit.com/events/new-wave-spitalfields-studios-sky-gallery,img.artrabbit.com/events/new-wave-spitalfields-studios-sky-gallery/images/BfeGEbs1vgbf/350x445/Beate-Sonnenberg-02-Beate-Sonnenberg.jpg,New Wave,"The exhibition explores the theme of the delicate balance between structure and fluidity, the ecological impact of our choices, the consequences of irreversible change, or the profound influence of new technologies such as AI in art. Let’s ride this New Wave together, embracing change, transformation, and sustainability to pursue a brighter, more resilient future."
Exhibition,"""Bewilderness"" solo show by Scott Musgrove",06 Jul 2023 – 21 Jul 2023,Dorothy Circus Gallery,"London, United Kingdom",https://www.artrabbit.com/events/bewilderness-solo-show-by-scott-musgrove,img.artrabbit.com/events/bewilderness-solo-show-by-scott-musgrove/images/mpxi7wtymxfF/350x497/LOCANDINA-SCOTT-CON-INFO.jpg,Bewilderness solo show by Scott Musgrove,"DCG London Presents the London Debut of Scott Musgrove's Captivating Exhibition, ""Bewilderness"" DCG London is thrilled to announce the highly anticipated London debut of American artist Scott Musgrove. Renowned for his profound exploration of present-day environmental issues intertwined with a distinctive sense of humor, Musgrove's solo exhibition promises to captivate audiences and ignite a deep sense of reflection on urgent global matters that impact humanity focusing in particular on the climate change."
Exhibition,David Shillinglaw - Nuclear Love,06 Jul 2023 – 28 Jul 2023,Everyday Sunshine,"London, United Kingdom",https://www.artrabbit.com/events/david-shillinglaw-nuclear-love-everyday-sunshine,img.artrabbit.com/events/david-shillinglaw-nuclear-love-everyday-sunshine/images/2HtgardQYQZu/350x350/DS-NL-s-1.jpg,David Shillinglaw - Nuclear Love,"The prodigious UK based artist, David Shillinglaw is exhibiting at our Sunshine Shop from Thursday July 6th. David’s work shifts between the street and studio using a variety of materials and mediums creating work that ranges from drawings and collages to large scale murals and installations. “DAVID EXPLORES THE CONFLICTED, MESSY HUMAN CONDITION: A RELENTLESS NEED FOR CONTROL WITHIN A DISORDERED WORLD. HIS VIBRANT, VITAL PAINTINGS PRESENT A TUMULTUOUS SYSTEM IN WHICH NATURAL FORMS, FREELY CONNECTED WORDS AND HUMAN FEATURES BOTH BURST FROM AND ARE CONTAINED WITHIN GRIDS, BOXES AND ORGANISED LINES."""
Exhibition,Ferdinand Dölberg and Ceyda Karatas,06 Jul 2023 – 28 Jul 2023,The Artist Room,"London, United Kingdom",https://www.artrabbit.com/events/ferdinand-dölberg-and-ceyda-karatas,img.artrabbit.com/events/ferdinand-dölberg-and-ceyda-karatas/images/b1vTowsTlwr4/350x234/Ferdinand-Dölberg-Ceyda-Karatas.jpg,Ferdinand Dölberg and Ceyda Karatas,"On view will be new and recent paintings and drawings by Ferdinand Dölberg (b.1998, Berlin) and Ceyda Karatas (b.1989, Istanbul). Ceyda Karatas"
Exhibition,Thread Routes,06 Jul 2023 – 12 Aug 2023,Massimo De Carlo Gallery,"London, United Kingdom",https://www.artrabbit.com/events/thread-routes,img.artrabbit.com/events/thread-routes/images/LYUd1WdvFRcZ/350x333/Alighiero-Boetti-Thread-Routes.jpg,Thread Routes,No description available.
Exhibition,Summer of 23 - paperworks,06 Jul 2023 – 23 Sep 2023,Benjamin Rhodes Arts,"London, United Kingdom",https://www.artrabbit.com/events/summer-of-23-paperworks,img.artrabbit.com/events/summer-of-23-paperworks/images/Uptg7X36RzGc/350x350/Portait-2022-watercolour-on-khadi-paper-30cm-x-30cm.jpg,Summer of 23 - paperworks,"recently from the studios of  VICTORIA BARTLETT / MICHAEL GINSBORG / 
DAVID TABORN / EMRYS WILLIAMS / VIK WINTER"
Art Fair,Korean Art London 2023,06 Jul 2023 – 22 Jul 2023,Mall Galleries,"London, United Kingdom",https://www.artrabbit.com/events/korean-art-london-2023,img.artrabbit.com/events/korean-art-london-2023/images/kUUzsx20aWnf/350x221/NaRiChoi-screenshot.jpg,Korean Art London 2023,"Korean Art London 2023 is the launch edition of a new boutique Artists Fair, held over 3 weeks at London's Mall Galleries this Summer. The launch edition of a new boutique Artists Fair for London, Korean Art London 2023 will present works in all media from over thirty established and emerging artists from South Korea."
Exhibition,WAVE: Currents in Japanese Graphic Arts,06 Jul 2023 – 22 Oct 2023,Japan House London,"London, United Kingdom",https://www.artrabbit.com/events/wave-currents-in-japanese-graphic-arts,img.artrabbit.com/events/wave-currents-in-japanese-graphic-arts/images/q5ZLeGV0Flai/350x350/Life-is-Good-by-Jenny-Kaori-Image-Courtesy-of-Japan-House-London.jpg,WAVE: Currents in Japanese Graphic Arts,"Discover the vibrancy and variety of Japanese graphic arts at WAVE: Currents in Japanese Graphic Arts. Curated by artists Hiro Sugiyama and Takahashi Kintarō, the exhibition presents the work of 60 of Japan’s most significant graphic artists today, introducing many of them to the UK for the first time. An anthology of styles and stories, bridging the worlds of fine art, commercial illustration and counterculture, WAVE offers UK audiences a rare opportunity to fully experience the diversity of expression within Japanese graphic arts. "
Exhibition,We Were All Once Virgins,06 Jul 2023 – 27 Jul 2023,Moosey Hoxton,"London, United Kingdom",https://www.artrabbit.com/events/we-were-all-once-virgins,img.artrabbit.com/events/we-were-all-once-virgins/images/BpWcMZPTAYUV/350x426/We-Only-See-One-Side-of-The-Moon-2022.jpg,We Were All Once Virgins,"Join us & celebrate the Opening of Nanhee Kim’s Solo Exhibition
‘We Were All Once Virgins’ Nanhee Kim graduated her BFA Koninklijke Academie Van Beeldende Kunsten, Netherlands in 2019. MFA Hochschule für Bildende Künste, Hamburg, Germany in 2022. She now lives & works in Hamburg."
